manufacturer_id,name,country
1,벤츠,수입
2,지엠아시아,수입
3,케이알모터스,수입
4,비엠더블유,수입
5,한국지엠,국산
6,기흥모터스,수입
7,에프엠케이,수입
8,모토로싸,수입
9,포르쉐,수입
10,현대자동차,국산
11,한국모터트레이딩,수입
12,에이엠티,수입
13,한국닛산,수입
14,볼보,수입
15,스텔란티스,수입
16,포드,수입
17,만트럭버스,수입
18,폭스바겐그룹,수입
19,기아,국산
20,비엠더블유(이륜),수입
21,스즈키씨엠씨,수입
22,모토스타,수입
23,혼다,수입
24,볼보트럭,수입
25,한불모터스,수입
26,토요타,수입
27,혼다(이륜),수입
28,화창상사,수입
29,씨엑스씨,수입
30,재규어랜드로버,수입
31,르노코리아,국산
32,타타대우,수입
33,스포츠모터사이클,수입
34,스바루,수입
35,제이에스이엔지,수입
36,명성정공,수입
37,대전기계공업,수입
38,케이지모빌리티,국산
39,다임러트럭,수입
40,브이엠케이,수입
41,엠엠에스케이,수입
42,자일대우버스,수입
43,오토젠,수입
44,락락모터스,수입
45,선롱버스코리아,수입
46,디앤에이모터스,수입
47,스카니아,수입
48,이베코그룹,수입
49,진일엔지니어링,수입
50,아이씨피,수입
51,기흥인터내셔널,수입
52,이탈로모토,수입
53,에이비케이,수입
54,미르모터스,수입
55,오텍,수입
56,브리타니아오토,수입
57,한국쓰리축공업,수입
58,바이크코리아,수입
59,다빈월드,수입
60,허스크바나모터싸이클,수입
61,마이브,수입
62,큐로모터스,수입
63,테슬라,수입
64,테라모터스,수입
65,명원아이앤씨,수입
66,범한자동차,수입
67,피라인모터스,수입
68,다산중공업,수입
69,폴스타,수입
70,한신특장,수입
71,에이치알이앤아이,수입
72,루트17,수입
73,바이크원,수입
74,더좋은사람,수입
75,젠트로피,수입
76,오토스원,수입
77,마스타전기차,수입
78,한솜바이크,수입
79,이비온,수입
80,비바모빌리티,수입
81,제이스모빌리티,수입
82,이누리,수입
83,모빌리티네트웍스,수입
84,GS글로벌,수입
85,블루샤크코리아,수입
86,노바스,수입
87,에스에스라이트,수입
88,케이지모빌리티커머셜,국산
89,제이에스얼라이언스,수입
90,한국모터스,수입
91,바이드 코리아,수입
92,티에스모터스,수입
93,킹롱이브이,수입
94,차봇모터스,수입
95,이엠코리아,수입
